Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 8uL_5hr	Razor + unique peptides 8uL_5hr	Unique peptides 8uL_5hr	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 8uL_5hr	Reporter intensity corrected 2 8uL_5hr	Reporter intensity corrected 3 8uL_5hr	Reporter intensity corrected 4 8uL_5hr	Reporter intensity corrected 5 8uL_5hr	Reporter intensity corrected 6 8uL_5hr	Reporter intensity 1 8uL_5hr	Reporter intensity 2 8uL_5hr	Reporter intensity 3 8uL_5hr	Reporter intensity 4 8uL_5hr	Reporter intensity 5 8uL_5hr	Reporter intensity 6 8uL_5hr	Reporter intensity count 1 8uL_5hr	Reporter intensity count 2 8uL_5hr	Reporter intensity count 3 8uL_5hr	Reporter intensity count 4 8uL_5hr	Reporter intensity count 5 8uL_5hr	Reporter intensity count 6 8uL_5hr	Sequence coverage 8uL_5hr [%]	Intensity	Intensity 8uL_5hr	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P70268	P70268	26	26	25	Serine/threonine-protein kinase N1	Pkn1	sp|P70268|PKN1_MOUSE Serine/threonine-protein kinase N1 OS=Mus musculus GN=Pkn1 PE=1 SV=3	1	26	26	25	26	26	25	27.7	27.7	26.8	104.41	946	946	0	274.69	292670	303840	401100	390250	350840	99344	281720	300760	402470	397910	349410	103150	50	50	50	50	50	50	292670	303840	401100	390250	350840	99344	281720	300760	402470	397910	349410	103150	50	50	50	50	50	50	27.7	793250000	793250000	53				460	242;804;964;1750;2457;2479;2752;3414;3653;4060;4229;4266;4531;4641;4702;4746;4957;5449;5635;5680;5938;6234;6548;6580;6700;7878	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	255;846;1016;1837;2573;2597;2598;2880;3568;3820;4247;4424;4461;4738;4852;4913;4959;5178;5724;5925;5970;6238;6543;6870;6902;7025;8251	342;1141;1350;2487;3496;3535;3536;3537;3945;3946;4872;5261;5836;6084;6137;6564;6709;6710;6808;6809;6870;6871;7169;7940;8252;8253;8306;8307;8648;9070;9514;9565;9566;9745;9746;11488	493;494;1569;1570;1833;1834;3356;4786;4856;4857;4858;5459;5460;5461;6744;7290;8046;8395;8474;8475;9064;9065;9066;9067;9273;9274;9412;9413;9414;9495;9496;9497;9901;9902;10934;10935;10936;11381;11382;11383;11459;11460;11461;11901;12501;13084;13152;13153;13398;13399;13400;13401;15825	493;1570;1834;3356;4786;4857;5461;6744;7290;8046;8395;8474;9065;9273;9413;9497;9902;10935;11382;11460;11901;12501;13084;13153;13401;15825	249	850
P70288	P70288	1	1	1	Histone deacetylase 2	Hdac2	sp|P70288|HDAC2_MOUSE Histone deacetylase 2 OS=Mus musculus GN=Hdac2 PE=1 SV=1	1	1	1	1	1	1	1	1.6	1.6	1.6	55.302	488	488	0.0026019	6.6093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	1				461	837	True	880	1181	1618	1618		
P70296	P70296	1	1	1	Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide	Pebp1	sp|P70296|PEBP1_MOUSE Phosphatidylethanolamine-binding protein 1 OS=Mus musculus GN=Pebp1 PE=1 SV=3	1	1	1	1	1	1	1	4.3	4.3	4.3	20.83	187	187	0.0088212	6.0473	6647.8	9834.4	5795.5	6331.4	7829.4	3456.3	6455.7	9497.9	6154.9	6483.5	7742.7	3468.9	1	1	1	1	1	1	6647.8	9834.4	5795.5	6331.4	7829.4	3456.3	6455.7	9497.9	6154.9	6483.5	7742.7	3468.9	1	1	1	1	1	1	4.3	3297700	3297700	1				462	5081	True	5306	7349	10152	10152		
P70318	P70318	11	11	9	Nucleolysin TIAR	Tial1	sp|P70318|TIAR_MOUSE Nucleolysin TIAR OS=Mus musculus GN=Tial1 PE=1 SV=1	1	11	11	9	11	11	9	33.4	33.4	27.3	43.388	392	392	0	126.03	194960	219520	201240	152070	195690	61307	187990	215430	205260	158870	192530	63085	26	26	26	26	26	25	194960	219520	201240	152070	195690	61307	187990	215430	205260	158870	192530	63085	26	26	26	26	26	25	33.4	846100000	846100000	27				463	861;1347;2385;3289;4195;5142;5189;6125;6277;6875;7969	True;True;True;True;True;True;True;True;True;True;True	906;907;1414;2498;3437;4390;5378;5430;6429;6430;6590;7202;8347	1207;1208;1881;3388;3389;4710;4711;6042;7438;7503;8905;8906;8907;9140;9141;9993;9994;11621;11622	1645;1646;1647;2525;4635;4636;4637;4638;6528;6529;6530;8338;8339;10277;10350;12244;12245;12246;12247;12593;12594;13733;13734;13735;16004;16005;16006	1647;2525;4637;6529;8339;10277;10350;12247;12594;13735;16005	193;250;251	2;85;249
P70333	P70333	11	5	5	Heterogeneous nuclear ribonucleoprotein H2	Hnrnph2	sp|P70333|HNRH2_MOUSE Heterogeneous nuclear ribonucleoprotein H2 OS=Mus musculus GN=Hnrnph2 PE=1 SV=1	1	11	5	5	11	5	5	32.3	15.8	15.8	49.279	449	449	0	48.406	30913	32075	33068	34407	34225	11929	29756	31655	33643	35068	34011	12170	8	8	8	8	8	8	30913	32075	33068	34407	34225	11929	29756	31655	33643	35068	34011	12170	8	8	8	8	8	8	32.3	134960000	134960000	9				464	708;2987;2993;3415;3787;5700;6673;6862;7177;7776;8108	True;False;True;False;True;False;True;False;False;False;True	744;3120;3126;3569;3961;5991;6998;7188;7514;8143;8487	1009;4282;4288;4289;4873;4874;5449;8338;8339;9709;9965;9966;9967;10404;11300;11301;11302;11806;11807	1391;5937;5938;5946;5947;5948;6745;6746;7545;7546;11504;11505;11506;13356;13699;13700;13701;13702;14273;15545;15546;15547;15548;16239;16240	1391;5938;5947;6746;7545;11505;13356;13700;14273;15546;16240		
P70335	P70335	32	27	27	Rho-associated protein kinase 1	Rock1	sp|P70335|ROCK1_MOUSE Rho-associated protein kinase 1 OS=Mus musculus GN=Rock1 PE=1 SV=1	1	32	27	27	32	27	27	24.4	20.2	20.2	158.17	1354	1354	0	185.02	214960	208630	239200	198600	246920	83908	206640	206950	241140	206120	243390	85771	27	27	27	27	27	27	214960	208630	239200	198600	246920	83908	206640	206950	241140	206120	243390	85771	27	27	27	27	27	27	24.4	218200000	218200000	30				465	162;672;1379;1626;1879;1938;1948;2008;2210;2932;4070;4103;4283;4317;4589;4638;5333;5385;5411;5429;5722;5817;5953;6349;6719;6735;6820;6845;7356;8089;8299;8455	True;True;False;True;True;True;False;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;False;True;False;True;True;True;True;True;True	169;708;1450;1708;1968;2029;2039;2106;2310;3064;4257;4291;4478;4513;4799;4849;5603;5659;5685;5703;6013;6110;6253;6666;7044;7061;7146;7171;7704;8468;8691;8851	230;965;1953;2317;2655;2737;2749;2850;3098;4209;5850;5897;5898;6158;6204;6643;6705;6706;7757;7831;7865;7893;8364;8488;8672;9243;9771;9795;9911;9943;10672;11781;12121;12333	338;1334;2634;2635;3121;3576;3703;3717;3869;4192;5842;8063;8133;8134;8501;8567;9172;9268;9269;10699;10790;10832;10873;11538;11690;11932;11933;12718;13433;13464;13630;13672;14653;16209;16737;17043;17044	338;1334;2635;3121;3576;3703;3717;3869;4192;5842;8063;8134;8501;8567;9172;9268;10699;10790;10832;10873;11538;11690;11933;12718;13433;13464;13630;13672;14653;16209;16737;17044		
P70336	P70336	56	56	50	Rho-associated protein kinase 2	Rock2	sp|P70336|ROCK2_MOUSE Rho-associated protein kinase 2 OS=Mus musculus GN=Rock2 PE=1 SV=1	1	56	56	50	55	55	50	40.1	40.1	35.4	160.58	1388	1388	0	323.31	795200	744590	842520	683350	855140	268630	763880	740070	849690	710270	842080	276370	90	90	90	90	90	90	795200	744590	842520	683350	855140	268630	763880	740070	849690	710270	842080	276370	90	90	90	90	90	90	39.6	1961300000	1961300000	98				466	135;161;854;1301;1310;1351;1379;1387;1646;1700;1889;1921;1948;2005;2021;2183;3346;3523;3525;3547;3794;3817;3927;3966;4013;4058;4064;4084;4103;4293;4553;5255;5318;5334;5384;5427;5441;5532;5782;5827;5922;5942;6349;6374;6509;6735;6767;6905;7099;7170;7290;7291;7685;7807;8218;8553	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	142;168;898;1368;1377;1418;1450;1461;1729;1786;1978;2012;2039;2103;2119;2282;3495;3682;3684;3708;3970;3993;4108;4150;4197;4198;4245;4251;4272;4291;4489;4761;4762;5513;5588;5604;5658;5701;5716;5816;6075;6121;6222;6242;6666;6691;6830;7061;7234;7434;7507;7634;7635;8050;8180;8603;8956	187;229;1199;1821;1832;1833;1886;1887;1953;1966;2342;2415;2416;2417;2418;2419;2669;2718;2749;2847;2865;3060;3061;4787;5026;5028;5062;5063;5463;5497;5498;5662;5663;5715;5773;5774;5833;5834;5841;5868;5869;5897;5898;6172;6173;6599;6600;7639;7742;7758;7830;7890;7891;7931;8084;8085;8445;8501;8627;8653;9243;9276;9277;9450;9451;9795;10032;10298;10389;10578;10579;10580;11178;11383;11993;12474	277;278;337;1636;2445;2458;2459;2460;2531;2532;2533;2534;2634;2635;2653;2654;3157;3252;3253;3254;3255;3256;3597;3677;3717;3865;3888;4141;4142;6627;6955;6957;7008;7009;7010;7011;7564;7565;7617;7618;7619;7840;7841;7842;7905;7906;7973;7974;8042;8043;8053;8089;8090;8133;8134;8518;8519;9118;9119;9120;9121;10546;10678;10679;10700;10789;10868;10869;10870;10921;11150;11151;11152;11639;11704;11865;11866;11906;12718;12756;12757;13002;13003;13464;13788;14138;14252;14518;14519;14520;15381;15382;15673;15674;16525;16526;16527;17261	278;337;1636;2445;2459;2532;2635;2654;3157;3253;3597;3677;3717;3865;3888;4142;6627;6955;6957;7011;7564;7619;7841;7906;7973;8043;8053;8090;8134;8519;9121;10546;10679;10700;10789;10869;10921;11150;11639;11704;11865;11906;12718;12756;13002;13464;13788;14138;14252;14518;14520;15382;15674;16527;17261	252;253	1011;1068
P70347	P70347	4	4	4	TRAF family member-associated NF-kappa-B activator	Tank	sp|P70347|TANK_MOUSE TRAF family member-associated NF-kappa-B activator OS=Mus musculus GN=Tank PE=1 SV=1	1	4	4	4	4	4	4	10.7	10.7	10.7	50.939	448	448	0	35.795	22860	19976	26753	25127	25072	6726.4	21932	19986	26814	25734	24852	7020.3	4	4	4	4	4	4	22860	19976	26753	25127	25072	6726.4	21932	19986	26814	25734	24852	7020.3	4	4	4	4	4	4	10.7	27151000	27151000	6				467	935;1222;5491;5804	True;True;True;True	985;1288;5775;6097	1309;1310;1722;1723;8030;8471	1782;1783;2319;2320;11081;11670	1783;2320;11081;11670		
P70349	P70349	5	5	5	Histidine triad nucleotide-binding protein 1	Hint1	sp|P70349|HINT1_MOUSE Histidine triad nucleotide-binding protein 1 OS=Mus musculus GN=Hint1 PE=1 SV=3	1	5	5	5	5	5	5	57.9	57.9	57.9	13.777	126	126	0	52.328	53630	49455	45996	53222	46738	19807	51503	49098	47170	53831	46794	19930	8	8	8	8	8	8	53630	49455	45996	53222	46738	19807	51503	49098	47170	53831	46794	19930	8	8	8	8	8	8	57.9	566420000	566420000	9				468	614;839;852;3343;3622	True;True;True;True;True	649;882;896;3492;3785	888;889;890;891;1183;1197;4783;5181	1229;1230;1231;1232;1233;1620;1634;6623;7181	1231;1620;1634;6623;7181		
P70372	P70372	6	6	6	ELAV-like protein 1	Elavl1	sp|P70372|ELAV1_MOUSE ELAV-like protein 1 OS=Mus musculus GN=Elavl1 PE=1 SV=2	1	6	6	6	6	6	6	24.2	24.2	24.2	36.169	326	326	0	46.592	44815	46405	43495	39477	66798	22421	43136	45758	44431	41273	65282	22942	8	8	8	8	8	8	44815	46405	43495	39477	66798	22421	43136	45758	44431	41273	65282	22942	8	8	8	8	8	8	24.2	52058000	52058000	10				469	2338;3704;5706;6360;6574;7318	True;True;True;True;True;True	2447;3874;5997;6678;6896;7666	3291;5333;8346;9258;9554;9555;10621	4467;7379;11515;12737;13137;13138;13139;13140;13141;14578	4467;7379;11515;12737;13138;14578		
P70398	P70398	24	24	24	Probable ubiquitin carboxyl-terminal hydrolase FAF-X	Usp9x	sp|P70398|USP9X_MOUSE Probable ubiquitin carboxyl-terminal hydrolase FAF-X OS=Mus musculus GN=Usp9x PE=1 SV=2	1	24	24	24	24	24	24	9.7	9.7	9.7	290.71	2559	2559	0	170.91	190590	181460	201190	164820	165590	56013	183140	180130	203110	170090	164440	57278	35	35	35	35	35	35	190590	181460	201190	164820	165590	56013	183140	180130	203110	170090	164440	57278	35	35	35	35	35	35	9.7	169320000	169320000	38				470	413;579;691;1205;1790;2435;2505;3273;3713;4020;4201;4285;4512;4653;4747;5097;5488;5581;5794;7857;7992;8297;8302;8514	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	435;613;727;1270;1877;2551;2625;3421;3883;4205;4396;4480;4717;4864;4960;5323;5772;5867;6087;8230;8371;8689;8694;8916	587;843;988;1697;2538;3471;3575;4688;5345;5346;5781;6050;6160;6533;6724;6725;6872;7371;8026;8154;8459;11458;11459;11648;12118;12124;12125;12415	827;1171;1368;1369;2286;3421;4756;4911;4912;4913;6500;7401;7402;7403;7404;7982;8351;8503;9025;9294;9295;9296;9498;10192;10193;11076;11242;11243;11654;15782;15783;16034;16035;16734;16741;16742;16743;17165	827;1171;1369;2286;3421;4756;4911;6500;7403;7982;8351;8503;9025;9295;9498;10192;11076;11243;11654;15783;16034;16734;16743;17165		
P70451;P16879;REV__P51855	P70451	37;2;1	37;2;1	37;2;1	Tyrosine-protein kinase Fer	Fer	sp|P70451|FER_MOUSE Tyrosine-protein kinase Fer OS=Mus musculus GN=Fer PE=1 SV=2	3	37	37	37	37	37	37	47.8	47.8	47.8	94.578	823	823;822;474	0	323.31	625910	663620	839390	848940	548740	168330	602760	655750	844260	858050	556140	173520	78	78	78	78	78	77	625910	663620	839390	848940	548740	168330	602760	655750	844260	858050	556140	173520	78	78	78	78	78	77	47.8	2214300000	2214300000	80				471	1469;1579;1829;2059;2172;2307;2392;2681;2824;3032;3327;3403;3504;3511;3808;4514;4780;5243;5320;5552;5648;5756;5807;6059;6117;6193;6335;6336;6496;6951;6958;7168;7225;8020;8021;8287;8298	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1547;1660;1917;2158;2271;2414;2506;2807;2953;3171;3476;3557;3662;3669;3984;4719;4996;5501;5590;5838;5938;6047;6100;6361;6421;6501;6650;6651;6818;7282;7289;7505;7563;7564;8399;8400;8678;8690	2111;2112;2255;2256;2592;2593;2910;2911;3046;3047;3245;3402;3403;3854;4033;4348;4754;4861;4997;4998;5006;5007;5483;6536;6925;7626;7744;8118;8268;8408;8474;8475;8806;8889;9019;9213;9214;9215;9216;9437;9438;10095;10105;10106;10387;10475;10476;10477;11698;11699;11700;12102;12103;12119;12120	2850;2851;2852;2853;3038;3039;3040;3491;3492;3493;3944;3945;3946;4121;4122;4123;4124;4390;4391;4660;4661;4662;5330;5573;5574;5575;6030;6588;6730;6731;6908;6909;6910;6923;6924;7589;7590;9028;9572;10530;10681;11199;11200;11402;11591;11592;11673;11674;11675;11676;12116;12117;12227;12434;12435;12684;12685;12686;12687;12987;12988;13876;13877;13893;13894;14250;14365;14366;14367;14368;16101;16102;16103;16104;16105;16707;16708;16709;16735;16736	2852;3040;3492;3946;4122;4390;4661;5330;5574;6030;6588;6730;6908;6924;7589;9028;9572;10530;10681;11200;11402;11592;11676;12117;12227;12435;12686;12687;12988;13877;13894;14250;14367;16101;16105;16708;16735	254	322
P70453	P70453	3	3	3	High affinity cAMP-specific 3,5-cyclic phosphodiesterase 7A	Pde7a	sp|P70453|PDE7A_MOUSE High affinity cAMP-specific 3,5-cyclic phosphodiesterase 7A OS=Mus musculus GN=Pde7a PE=2 SV=2	1	3	3	3	3	3	3	12.1	12.1	12.1	52.485	456	456	0	18.731	5490.2	6882.1	9310.4	3946.8	6579.9	2040.5	5307.6	6749.2	9248.4	4361.6	6427.8	2095.3	3	3	3	3	3	2	5490.2	6882.1	9310.4	3946.8	6579.9	2040.5	5307.6	6749.2	9248.4	4361.6	6427.8	2095.3	3	3	3	3	3	2	12.1	12195000	12195000	3				472	2136;5821;6073	True;True;True	2235;6114;6375	3001;8493;8823	4060;11695;12136	4060;11695;12136		
Q60817;P70670	Q60817;P70670	2;2	2;2	2;2	Nascent polypeptide-associated complex subunit alpha;Nascent polypeptide-associated complex subunit alpha, muscle-specific form	Naca	sp|Q60817|NACA_MOUSE Nascent polypeptide-associated complex subunit alpha OS=Mus musculus GN=Naca PE=1 SV=1;sp|P70670|NACAM_MOUSE Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Mus musculus GN=Naca PE=1 SV=2	2	2	2	2	2	2	2	13.5	13.5	13.5	23.384	215	215;2187	0	15.885	33278	20010	18894	19942	25201	6293.1	31752	20534	19333	20458	24759	6615.8	4	4	4	4	4	4	33278	20010	18894	19942	25201	6293.1	31752	20534	19333	20458	24759	6615.8	4	4	4	4	4	4	13.5	21416000	21416000	4				473	3506;6683	True;True	3664;7008	5000;9722;9723	6914;13370;13371;13372	6914;13371		
P70698;P70303	P70698	7;2	7;2	7;2	CTP synthase 1	Ctps1	sp|P70698|PYRG1_MOUSE CTP synthase 1 OS=Mus musculus GN=Ctps1 PE=1 SV=2	2	7	7	7	7	7	7	14.4	14.4	14.4	66.682	591	591;586	0	64.878	66447	67316	54047	47357	66220	26917	63928	66365	55744	49221	65177	27159	8	8	8	8	8	8	66447	67316	54047	47357	66220	26917	63928	66365	55744	49221	65177	27159	8	8	8	8	8	8	14.4	88383000	88383000	10				474	402;1215;2602;3243;5084;8417;8420	True;True;True;True;True;True;True	424;1281;2724;3390;5309;8811;8814	573;1715;3728;4641;4642;7354;12279;12282	809;2309;2310;5142;6441;6442;10164;10165;16973;16977	809;2309;5142;6442;10165;16973;16977		
P80313	P80313	7	7	7	T-complex protein 1 subunit eta	Cct7	sp|P80313|TCPH_MOUSE T-complex protein 1 subunit eta OS=Mus musculus GN=Cct7 PE=1 SV=1	1	7	7	7	7	7	7	15.1	15.1	15.1	59.652	544	544	0	45.401	33115	36127	26900	22089	38711	11940	31910	35449	27883	23252	37770	12303	7	7	7	7	7	7	33115	36127	26900	22089	38711	11940	31910	35449	27883	23252	37770	12303	7	7	7	7	7	7	15.1	35200000	35200000	8				475	725;2839;4584;5219;6722;7020;7980	True;True;True;True;True;True;True	762;2968;4794;5472;7047;7353;8359	1037;4053;6636;7587;9774;10192;11634	1428;1429;5603;9163;10482;13436;14008;16018	1428;5603;9163;10482;13436;14008;16018	255;256	1;2
P80314	P80314	6	6	6	T-complex protein 1 subunit beta	Cct2	sp|P80314|TCPB_MOUSE T-complex protein 1 subunit beta OS=Mus musculus GN=Cct2 PE=1 SV=4	1	6	6	6	6	6	6	16.6	16.6	16.6	57.477	535	535	0	50.684	9657.7	11246	8660.2	7034	11731	2694.8	9319.9	11001	8951.9	7390.6	11432	2858.7	5	5	5	5	5	5	9657.7	11246	8660.2	7034	11731	2694.8	9319.9	11001	8951.9	7390.6	11432	2858.7	5	5	5	5	5	5	16.6	26259000	26259000	6				476	662;865;2686;4430;5388;8019	True;True;True;True;True;True	698;911;2812;4629;5662;8398	955;1213;3860;6410;7836;11697	1324;1653;5337;8869;10795;16100	1324;1653;5337;8869;10795;16100		
P80315	P80315	3	3	3	T-complex protein 1 subunit delta	Cct4	sp|P80315|TCPD_MOUSE T-complex protein 1 subunit delta OS=Mus musculus GN=Cct4 PE=1 SV=3	1	3	3	3	3	3	3	8	8	8	58.066	539	539	0	23.952	9500	12688	10356	7638.8	13811	2873.3	9199.2	12337	10647	8101	13424	3083.8	3	3	3	3	3	3	9500	12688	10356	7638.8	13811	2873.3	9199.2	12337	10647	8101	13424	3083.8	3	3	3	3	3	3	8	15633000	15633000	4				477	425;895;2748	True;True;True	447;942;2876	603;1261;3940;3941	846;1723;5453;5454	846;1723;5454		
P80316	P80316	4	4	4	T-complex protein 1 subunit epsilon	Cct5	sp|P80316|TCPE_MOUSE T-complex protein 1 subunit epsilon OS=Mus musculus GN=Cct5 PE=1 SV=1	1	4	4	4	4	4	4	7.6	7.6	7.6	59.623	541	541	0	23.117	24603	20437	20459	16375	37996	9963.2	23583	20445	20787	17519	36814	10422	3	3	3	3	3	3	24603	20437	20459	16375	37996	9963.2	23583	20445	20787	17519	36814	10422	3	3	3	3	3	3	7.6	13516000	13516000	4				478	2559;4424;6502;7398	True;True;True;True	2680;4623;6824;7746	3650;6402;9444;10724	5022;8859;12996;14721	5022;8859;12996;14721		
P80317;Q61390	P80317	7;1	7;1	7;1	T-complex protein 1 subunit zeta	Cct6a	sp|P80317|TCPZ_MOUSE T-complex protein 1 subunit zeta OS=Mus musculus GN=Cct6a PE=1 SV=3	2	7	7	7	7	7	7	16.6	16.6	16.6	58.004	531	531;531	0	52.228	36722	44051	33040	31529	40416	11507	35463	43016	34293	32515	39733	11931	8	8	8	8	8	7	36722	44051	33040	31529	40416	11507	35463	43016	34293	32515	39733	11931	8	8	8	8	8	7	16.6	43679000	43679000	8				479	453;3008;3640;6410;7106;7593;7826	True;True;True;True;True;True;True	475;3141;3804;6728;7442;7956;8199	636;637;4310;5206;9321;10308;11044;11405	889;890;5977;7212;12823;14150;15175;15705	889;5977;7212;12823;14150;15175;15705		
P80318	P80318	10	10	10	T-complex protein 1 subunit gamma	Cct3	sp|P80318|TCPG_MOUSE T-complex protein 1 subunit gamma OS=Mus musculus GN=Cct3 PE=1 SV=1	1	10	10	10	10	10	10	19.8	19.8	19.8	60.629	545	545	0	66.442	73792	83515	65807	59079	81506	23080	71164	81826	67990	61276	79950	23964	12	12	12	12	12	12	73792	83515	65807	59079	81506	23080	71164	81826	67990	61276	79950	23964	12	12	12	12	12	12	19.8	92363000	92363000	13				480	490;756;1565;1814;1833;3915;3986;7025;7250;8037	True;True;True;True;True;True;True;True;True;True	517;794;1646;1902;1921;4096;4170;7358;7590;8416	695;1077;1078;2235;2576;2597;5650;5735;10201;10510;11717	962;1481;1482;1483;1484;3010;3471;3498;7826;7931;14019;14410;16126	962;1483;3010;3471;3498;7826;7931;14019;14410;16126		
P83510;Q91YE5	P83510	8;1	4;0	3;0	Traf2 and NCK-interacting protein kinase	Tnik	sp|P83510|TNIK_MOUSE Traf2 and NCK-interacting protein kinase OS=Mus musculus GN=Tnik PE=1 SV=2	2	8	4	3	8	4	3	7	3.6	2.9	150.37	1323	1323;1889	0	30.032	51102	39670	71507	52807	51169	13184	48931	40208	70603	54772	50762	13816	5	5	5	5	5	5	51102	39670	71507	52807	51169	13184	48931	40208	70603	54772	50762	13816	5	5	5	5	5	5	7	52281000	52281000	7				481	2998;3105;5383;6232;6407;6550;6906;7154	True;False;False;False;True;True;False;True	3131;3247;5657;6541;6725;6872;7235;7491	4295;4447;4448;7829;9068;9318;9518;10033;10368;10369;10370	5955;6162;6163;6164;10788;12499;12819;13090;13789;14225;14226;14227;14228	5955;6163;10788;12499;12819;13090;13789;14228		
P83741	P83741	2	2	2	Serine/threonine-protein kinase WNK1	Wnk1	sp|P83741|WNK1_MOUSE Serine/threonine-protein kinase WNK1 OS=Mus musculus GN=Wnk1 PE=1 SV=2	1	2	2	2	2	2	2	1	1	1	250.93	2377	2377	0	10.945	2795.3	2860.1	2227.9	2656.2	3166.6	1112.7	2689.9	2817.4	2314.7	2706.4	3126.6	1134.4	1	1	1	1	1	1	2795.3	2860.1	2227.9	2656.2	3166.6	1112.7	2689.9	2817.4	2314.7	2706.4	3126.6	1134.4	1	1	1	1	1	1	1	2450000	2450000	2				482	4401;6533	True;True	4598;6855	6329;9494	8740;13058	8740;13058		
P83882	P83882	4	4	4	60S ribosomal protein L36a	Rpl36a	sp|P83882|RL36A_MOUSE 60S ribosomal protein L36a OS=Mus musculus GN=Rpl36a PE=1 SV=2	1	4	4	4	4	4	4	24.5	24.5	24.5	12.441	106	106	0	24.483	66053	61962	57713	64338	73225	26543	63453	61451	59155	65638	72439	26999	7	7	7	7	7	7	66053	61962	57713	64338	73225	26543	63453	61451	59155	65638	72439	26999	7	7	7	7	7	7	24.5	201760000	201760000	7				483	1307;3324;3325;6098	True;True;True;True	1374;3473;3474;6402	1828;1829;4751;4752;8857	2453;2454;2455;6584;6585;6586;12181	2455;6585;6586;12181		
Q8VCK3;P83887	Q8VCK3;P83887	1;1	1;1	1;1	Tubulin gamma-2 chain;Tubulin gamma-1 chain	Tubg2;Tubg1	sp|Q8VCK3|TBG2_MOUSE Tubulin gamma-2 chain OS=Mus musculus GN=Tubg2 PE=1 SV=1;sp|P83887|TBG1_MOUSE Tubulin gamma-1 chain OS=Mus musculus GN=Tubg1 PE=1 SV=1	2	1	1	1	1	1	1	2	2	2	51.121	451	451;451	0.0065628	6.1901	4556.6	5997	5120.3	5720.2	7496	2638.1	4410.6	5837.1	5279.3	5862.7	7379.5	2689.4	1	1	1	1	1	1	4556.6	5997	5120.3	5720.2	7496	2638.1	4410.6	5837.1	5279.3	5862.7	7379.5	2689.4	1	1	1	1	1	1	2	4974000	4974000	1				484	788	True	828	1120	1543	1543		
P84089	P84089	2	2	1	Enhancer of rudimentary homolog	Erh	sp|P84089|ERH_MOUSE Enhancer of rudimentary homolog OS=Mus musculus GN=Erh PE=1 SV=1	1	2	2	1	1	1	1	17.3	17.3	6.7	12.259	104	104	0	10.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7	0	0	1				485	5768;6506	True;True	6061	8423	11609	11609		
P84091	P84091	4	4	4	AP-2 complex subunit mu	Ap2m1	sp|P84091|AP2M1_MOUSE AP-2 complex subunit mu OS=Mus musculus GN=Ap2m1 PE=1 SV=1	1	4	4	4	4	4	4	9.9	9.9	9.9	49.654	435	435	0	23.943	27473	27637	23691	26703	30461	18558	26428	27274	24420	27246	30358	18308	5	5	5	5	5	5	27473	27637	23691	26703	30461	18558	26428	27274	24420	27246	30358	18308	5	5	5	5	5	5	9.9	27505000	27505000	6				486	2158;3186;6659;7124	True;True;True;True	2257;3333;6983;7461	3024;4571;9690;10334	4088;6350;6351;13333;14183;14184	4088;6351;13333;14183		
